iso2c,port,total_in_port,total_ips,port_name,ssl,port_group,un_code,country_name,region,sub_region,iso3c,iso3n,imf,wb,continent
UG,465,136,5677,smtp,TRUE,mail,800,Uganda,Africa,Eastern Africa,UGA,800,746,UGA,Africa
FK,465,1290,1418,smtp,TRUE,mail,238,Falkland Islands (Malvinas),Latin America and the Caribbean,South America,FLK,238,323,FLK,Americas
BH,465,72,50600,smtp,TRUE,mail,48,Bahrain,Asia,Western Asia,BHR,48,419,BHR,Asia
KP,465,15,303,smtp,TRUE,mail,408,Democratic People's Republic of Korea,Asia,Eastern Asia,PRK,408,NA,PRK,Asia
CA,53,186324,2003404,dns,FALSE,dns,124,Canada,Latin America and the Caribbean,Northern America,CAN,124,156,CAN,Americas
PH,53,20994,146294,dns,FALSE,dns,608,Philippines,Asia,South-Eastern Asia,PHL,608,566,PHL,Asia
FR,53,328064,2358135,dns,FALSE,dns,250,France,Europe,Western Europe,FRA,250,132,FRA,Europe
AM,53,6405,59069,dns,FALSE,dns,51,Armenia,Asia,Western Asia,ARM,51,911,ARM,Asia
EE,53,8184,66660,dns,FALSE,dns,233,Estonia,Europe,Northern Europe,EST,233,939,EST,Europe
UZ,53,670,91807,dns,FALSE,dns,860,Uzbekistan,Asia,Central Asia,UZB,860,927,UZB,Asia
TJ,53,2707,6145,dns,FALSE,dns,762,Tajikistan,Asia,Central Asia,TJK,762,923,TJK,Asia
KZ,53,94357,230749,dns,FALSE,dns,398,Kazakhstan,Asia,Central Asia,KAZ,398,916,KAZ,Asia
QA,53,9392,40574,dns,FALSE,dns,634,Qatar,Asia,Western Asia,QAT,634,453,QAT,Asia
AP,53,145,12550,dns,FALSE,dns,NA,NA,NA,NA,NA,NA,NA,NA,NA
VU,53,142,965,dns,FALSE,dns,548,Vanuatu,Oceania,Melanesia,VUT,548,846,VUT,Oceania
SD,53,126,5486,dns,FALSE,dns,729,Sudan,Africa,Northern Africa,SDN,736,732,SDN,Africa
GG,53,39,2653,dns,FALSE,dns,831,Guernsey,Europe,Northern Europe,GGY,831,NA,GGY,Europe
KI,53,18,197,dns,FALSE,dns,296,Kiribati,Oceania,Micronesia,KIR,296,826,KIR,Oceania
FM,53,17,2206,dns,FALSE,dns,583,Micronesia (Federated States of),Oceania,Micronesia,FSM,583,868,FSM,Oceania
MF,53,39,284,dns,FALSE,dns,663,Saint Martin (French part),Latin America and the Caribbean,Caribbean,MAF,663,352,MAF,Americas
AX,53,26,4771,dns,FALSE,dns,248,Åland Islands,Europe,Northern Europe,ALA,248,NA,ALA,Europe
AW,53,60,2457,dns,FALSE,dns,533,Aruba,Latin America and the Caribbean,Caribbean,ABW,533,314,ABW,Americas
NL,587,137895,3465581,smtp-sub,FALSE,mail,528,Netherlands,Europe,Western Europe,NLD,528,138,NLD,Europe
TZ,587,659,11518,smtp-sub,FALSE,mail,834,United Republic of Tanzania,Africa,Eastern Africa,TZA,834,738,TZA,Africa
