cc,port,n
JP,5900,143369
HK,5900,91182
HR,5900,1055
TZ,5900,345
SN,5900,33
AG,5900,28
AO,5900,146
SS,5900,18
NC,5900,31
VE,5900,2927
SR,5900,33
CU,5900,118
KY,5900,24
WF,8080,7
TD,8443,6
ID,9100,2068
KE,9100,666
SL,9100,1
CY,9100,1771
MK,9100,301
SK,9100,917
OM,9100,149
EC,9100,400
VE,9100,2289
UZ,9100,39
RS,9100,202
JE,9100,15
AD,9100,8
KG,9100,8
CN,993,339123
MY,993,11019
FR,993,257229
LV,993,5518
LT,993,11841
GA,993,761
VU,993,11
BB,993,109
OM,993,448
UZ,993,310
PN,993,1
KW,993,262
JM,993,90
AS,993,24
AG,993,16
SB,110,14
AS,110,25
AW,110,18
MF,135,3
MS,445,4
BL,445,1
CC,5000,1
KP,5000,4
MS,53,4
GN,9100,1
TC,9100,1
VA,9100,1
CF,110,8
BQ,110,11
TO,21,17
PN,445,1
FK,5000,4
MF,8081,4
SH,8081,1
GM,9100,1
SH,9100,2
PN,9100,1
GQ,993,4
FM,3306,4
FM,465,2
GW,8443,2
JE,990,13
%,990,2
BJ,990,7
AX,995,17
TK,110,1
BT,445,1
NF,8080,1
NZ,8888,8201
IT,8888,15127
ET,8888,21
KH,8888,908
MO,8888,1139
MQ,8888,261
UG,8888,83
CM,8888,24
MC,8888,22
MV,8888,124
GU,8888,27
PY,8888,402
EC,8888,768
SD,8888,17
AS,8888,7
ER,995,5
GG,111,6
GW,111,1
IO,139,1
NU,139,1
PL,1433,142929
LB,1433,490
GA,1433,465
MV,1433,2065
A1,1433,93
SI,1433,1231
CL,1433,2388
MG,1433,37
MC,1433,8
CK,1433,2
KN,465,7
SB,8081,2
PM,990,1
TK,990,1
SH,111,1
KP,1433,2
ES,389,33508
DK,389,4593
SK,389,755
LU,389,535
AD,389,18
CY,389,157
SS,389,24
CL,389,1165
JO,389,367
VE,389,2596
CG,389,2580
JE,389,12
GN,389,6
BM,389,11
VG,389,14
NR,8081,1
LS,8888,3
ER,8888,3
GL,8888,3
TV,995,2
TK,1433,1
IO,1433,1
SX,389,1
GW,3306,1
MH,465,3
MS,135,2
KM,587,1
ES,80,765737
EE,80,16742
BG,80,119017
UZ,80,85761
JM,80,7439
AR,80,609
AO,80,89
AS,80,22
BY,80,9855
LR,80,5
MR,80,109
KH,80,222
