cc,port,n
NL,111,69891
CH,111,10741
UZ,111,1367
KE,111,1337
LY,111,72
GA,111,679
NA,111,57
MN,111,201
GH,111,211
CD,111,32
CU,111,229
AW,111,14
VA,111,12
IO,111,3
ZA,139,28019
HR,139,1889
GI,139,192
AM,139,4344
KZ,139,4923
ME,139,286
BB,139,61
WS,139,218
MQ,139,281
BM,139,37
LA,139,113
PA,139,1297
JM,139,64
HT,139,51
GQ,139,14
BS,139,34
ST,139,5
GG,139,18
GL,139,20
CK,139,2
WF,139,4
AU,143,250389
GI,143,2005
DK,143,10621
GR,143,7640
BR,143,116550
AO,143,659
KZ,143,2078
AE,143,1096
AR,143,16301
BS,143,327
ME,143,81
SN,143,70
TG,143,31
LC,143,19
SB,143,6
AP,143,55
GD,143,23
ML,143,47
JM,21,1992
SG,21,56667
TH,21,180887
CH,21,99555
IL,21,60048
AT,21,51172
GE,21,5410
MT,21,1684
ZA,21,97100
ET,21,39
AE,21,21934
ZM,21,2873
FM,21,1760
YT,21,68
MQ,21,277
PA,21,7642
US,22,8508072
VN,22,43183
NO,22,148956
QA,22,10857
EU,22,13887
VC,22,3407
NC,22,8762
GU,22,12875
VU,22,96
GM,22,485
CF,22,9
CU,22,709
MQ,22,280
KI,22,30
CA,23,137820
VG,23,980
A2,23,4683
BY,23,5447
KW,23,6908
KH,23,4528
GH,23,2273
SC,23,682
LY,23,2842
NP,23,6003
GM,23,496
AF,23,1277
CL,23,50651
CO,23,162453
GG,23,221
MC,23,154
PF,23,2034
CU,23,825
AP,23,240
TC,23,131
SG,25,45505
GB,25,465833
GG,25,216
AE,25,1145699
LT,25,36449
MD,25,3679
OM,25,283824
PR,25,1497
LS,25,4712
ZM,25,13636
MG,25,241
AG,25,120
SS,25,45
BN,25,124
TH,3306,24762
QA,3306,9267
HR,3306,2285
PG,3306,180
MZ,3306,603
LK,3306,431
BZ,3306,7755
KI,3306,4
BO,3306,648
BN,3306,92
CD,3306,26
SR,3306,42
TM,3306,6
GU,3306,24
TH,3389,36187
DK,3389,19478
KZ,3389,5509
IE,3389,55039
HR,3389,7121
BY,3389,6365
